Title,Year,Rated,Day_Released,Month_Released,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Poster,RottenTomatoes,Metascore,imdbRating,imdbVotes,imdbID,Production,
The Great White Silence,1924,N/A,N/A,,80,Documentary,Herbert G. Ponting,"Robert Falcon Scott, Herbert G. Ponting, Henry R. Bowers, Edgar Evans","In 1910 the British Antarctic Expedition, led by Capt. Robert F. Scott, embarks from Lyttleton, NZ on a quest to become the first to reach the South Pole.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZjIzYTlhN2QtZGE2ZS00NDU4LTk5M2ItOGQ5ZGE3MWQyYjgwXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,N/A,N/A,8,917,tt1764657,N/A,
Greed,1924,Not Rated,26,Jan,140,"Drama,Thriller,Western",Erich von Stroheim,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.96,N/A,8.1,8406,tt0015881,Metro Goldwyn Mayer,
The Last Laugh,1924,Not Rated,5,Jan,90,Drama,F.W. Murnau,"Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz","An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BOTBjM2M1Y2ItYTVmMi00NmY0LWIyYjEtNzVhM2UzMzNhMzVkXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,1,N/A,8.1,12389,tt0015064,N/A,
Sherlock Jr.,1924,Passed,11,May,45,"Action,Comedy,Romance",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","None,English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.96,N/A,8.2,40713,tt0015324,Buster Keaton Productions Inc. [us],
The Thief of Bagdad,1924,Not Rated,11,Apr,155,"Adventure,Family,Fantasy,Romance",Raoul Walsh,"Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,N/A,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNmM0MjdkMDQtMDMwMy00ZjE4LThjMDUtNjA4ZjkxYzM0MWRjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.96,N/A,7.7,5466,tt0015400,Douglas Fairbanks Pictures,
Battleship Potemkin,1925,Not Rated,24,Dec,66,"Drama,History,Thriller,War",Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","None,Russian",SovietUnion,1 win.,https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_SX300.jpg,1,97,8,52385,tt0015648,Goskino,
The Big Parade,1925,Not Rated,N/A,,151,"Drama,Romance,War","King Vidor, George W. Hill","John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell",A young American soldier witnesses the horrors of the Great War.,None,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg,1,N/A,7.9,6124,tt0015624,Metro-Goldwyn-Mayer,
The Eagle,1925,Unrated,8,Nov,73,"Action,Comedy,Drama,History,Romance",Clarence Brown,"Rudolph Valentino, Vilma Bánky, Louise Dresser, Albert Conti","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWM3Y2RlNTItNmI5My00NWQzLWEzZDAtYzkzMmIwMjY4MDI1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.74,N/A,6.6,1709,tt0015772,Art Finance Corporation,
The Gold Rush,1925,Passed,13,Jul,95,"Adventure,Comedy,Drama,Western",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,"None,English",USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1,N/A,8.2,99071,tt0015864,Charles Chaplin Productions,
The Phantom of the Opera,1925,Passed,15,Nov,93,Horror,"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick","Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe","A mad, disfigured composer seeks love with a lovely young opera singer.",N/A,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDk4MDM1NTI5MV5BMl5BanBnXkFtZTgwMDkyMDc2MTE@._V1_SX300.jpg,0.9,N/A,7.6,16381,tt0016220,Hammer Films,
Strike,1925,Not Rated,N/A,,82,Drama,Sergei M. Eisenstein,"Maksim Shtraukh, Grigoriy Aleksandrov, Mikhail Gomorov, I. Ivanov",A group of oppressed factory workers go on strike in pre-revolutionary Russia.,None,SovietUnion,N/A,https://m.media-amazon.com/images/M/MV5BMjA5Mzc0Mzg3MF5BMl5BanBnXkFtZTgwNzgyMzQ2MTE@._V1_SX300.jpg,1,N/A,7.6,6913,tt0015361,Goskino,
The Adventures of Prince Achmed,1926,Not Rated,20,Jun,80,"Animation,Adventure,Fantasy,Romance","Lotte Reiniger, Carl Koch",N/A,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNGRiYjNiMmYtMjIzNy00M2Q3LWJjMjctYzMyNjRlYWZhODU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1,N/A,7.8,5179,tt0015532,Paramount,
The General,1926,Passed,2,Jan,67,"Action,Adventure,Comedy,Drama,War","Clyde Bruckman, Buster Keaton","Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","None,English",USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.93,N/A,8.1,79706,tt0017925,"United Artists, Buster Keaton Productions Inc. [us]",
The Jazz Singer,1927,Unrated,4,Feb,88,"Drama,Music,Musical,Romance",Alan Crosland,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,English,USA,Nominated for 1 Oscar. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BOTUxNTk0MjEtZjQ5Yi00ODBhLTlkY2YtMDJhOWZmNDM1YWJkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,0.75,66,6.5,8953,tt0018037,Warner Bros.,
The Kid Brother,1927,Passed,17,Jan,82,"Comedy,Drama,Family,Romance","Ted Wilde, Harold Lloyd, Lewis Milestone, J.A. Howe(co-director)","Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis",A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQzNjY2NjY1Ml5BMl5BanBnXkFtZTgwOTYzODYwMjE@._V1_SX300.jpg,1,N/A,7.6,3748,tt0018051,Paramount Pictures,
Metropolis,1927,Not Rated,13,Mar,153,"Drama,Sci-Fi",Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","German,None",Germany,6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,0.97,98,8.3,158085,tt0017136,Paramount,
Napoleon,1927,N/A,17,Feb,330,"Biography,Drama,History,War",Abel Gance,"Albert Dieudonné, Vladimir Roudenko, Edmond Van Daële, Alexandre Koubitzky",A film about the French general's youth and early military career.,N/A,France,4 wins.,https://m.media-amazon.com/images/M/MV5BZjI4MDEzNTktMGU4ZC00YjFiLTg4OWEtNzNkMWVlY2YwOTdjXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_SX300.jpg,0.88,N/A,8.1,6938,tt0018192,"Société Westi, Isepa-Wengeroff Film GmbH, Société générale des films, Films Abel Gance, Ciné France, Pathé Consortium Cinéma",
Sunrise,1927,Passed,4,Nov,94,"Drama,Romance",F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,English,USA,Won 3 Oscars. Another 3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,0.98,N/A,8.1,46415,tt0018455,Fox Film Corporation,
The Unknown,1927,Unrated,4,Jun,63,"Drama,Horror,Romance,Thriller",Tod Browning,"Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz",A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTk3MjQ0MzYzMF5BMl5BanBnXkFtZTgwNDg1NDM4MTE@._V1_SX300.jpg,1,N/A,7.8,6707,tt0018528,Metro-Goldwyn-Mayer,
The Crowd,1928,Not Rated,3,Mar,98,"Drama,Romance",King Vidor,"Eleanor Boardman, James Murray, Bert Roach, Estelle Clark","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.",None,USA,Nominated for 2 Oscars. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjhhN2QzYzEtNmE3Ny00OWU3LWEwNmUtYTQ1ZmRjNWQ2YzMyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.96,N/A,8.1,7403,tt0018806,Metro Goldwyn Mayer,
The Docks of New York,1928,Not Rated,29,Sep,76,"Crime,Drama,Film-Noir,Romance",Josef von Sternberg,"George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook",A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,"None,English",USA,3 wins.,https://m.media-amazon.com/images/M/MV5BN2FmNTM2NTItYmY4Yi00MjRiLThkMGUtNzRhODIzNjVjNDgwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1,N/A,7.5,3879,tt0018839,N/A,
October (Ten Days that Shook the World),1927,N/A,24,Sep,95,"Drama,History","Grigoriy Aleksandrov, Sergei M. Eisenstein","Nikolay Popov, Vasili Nikandrov, Layaschenko, Chibisov","A large-scale view on the events of 1917 in Russia, when the monarchy was overthrown.",N/A,SovietUnion,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyMjI2MTgxOF5BMl5BanBnXkFtZTgwMDA2MzUxMjE@._V1_SX300.jpg,0.91,N/A,7.4,6527,tt0018217,Sovkino,
The Passion of Joan of Arc,1928,Passed,25,Oct,114,"Biography,Drama,History",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","None,French",France,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0.98,N/A,8.1,46289,tt0019254,Société générale des films,
"Steamboat Bill, Jr.",1928,Not Rated,20,May,70,"Action,Comedy,Drama,Family,Romance","Charles Reisner, Buster Keaton","Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis",The effete son of a cantankerous riverboat captain comes to join his father's crew.,"None,English",USA,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BOTg2MjUyMjYyOV5BMl5BanBnXkFtZTgwNjM0NDAwMjE@._V1_SX300.jpg,1,N/A,7.9,13052,tt0019421,Buster Keaton Productions Inc. [us],
Storm Over Asia,1928,N/A,6,Sep,74,"Drama,War",Vsevolod Pudovkin,"Valéry Inkijinoff, I. Dedintsev, Aleksandr Chistyakov, Viktor Tsoppi","After a run-in with the law, a Mongolian man becomes a fugitive and joins the Russian Civil War.","None,Russian",SovietUnion,1 win.,https://m.media-amazon.com/images/M/MV5BMTg0Mjg5ODAwNV5BMl5BanBnXkFtZTgwMzE3ODgwMjE@._V1_SX300.jpg,N/A,N/A,7.1,1831,tt0019286,N/A,
Blackmail,1929,Not Rated,6,Oct,85,"Crime,Thriller",Alfred Hitchcock,"Anny Ondra, Sara Allgood, Charles Paton, John Longden","After killing a man in self-defense, a young woman is blackmailed by a witness to the killing.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BOGNhMzc3ZWMtMjc5ZS00YWM4LTgzYTctYjgxOGY5YTdjZjYzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.86,N/A,7,9502,tt0019702,British International Pictures,
Man with a Movie Camera,1929,Not Rated,12,May,68,"Documentary,Music",Dziga Vertov,Mikhail Kaufman,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",None,SovietUnion,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTc3NGVlN2QtYWJlZi00YjhjLThiZjctZDA1MmE1NGI4ZmE4XkEyXkFqcGdeQXVyODQyNDU4OTk@._V1_SX300.jpg,0.97,N/A,8.4,22024,tt0019760,N/A,
Pandora's Box,1929,Not Rated,22,Feb,109,"Crime,Drama,Romance",Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,"None,German",Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzdlNmJlNmItNWUyMC00YTJlLTlmNDAtYmRiYzdiZTM2MjAzXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,0.93,N/A,7.9,9683,tt0018737,Nero-Film AG,
A Throw of Dice,1929,NOT RATED,4,Jan,74,"Adventure,Drama,Romance",Franz Osten,"Seeta Devi, Himansu Rai, Charu Roy, Modhu Bose","With King Ranjit visiting him, King Sohat sees an opportunity to kill his young cousin and take over his kingdom. One of Sohat's henchmen fells Ranjit with a poisoned arrow, making it look ...",English,"UK,India,Germany",N/A,https://ia.media-imdb.com/images/M/MV5BMTIyMjMxNDA1M15BMl5BanBnXkFtZTcwMDQ5MzM2MQ@@._V1_SX300.jpg,1,N/A,6.7,534,tt0020286,N/A,
L'Age d'Or,1930,Not Rated,1,Nov,63,"Comedy,Drama",Luis Buñuel,"Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMmY2NWYyN2MtNTkyNi00MmJkLTkwODAtNWU1ZDQ5OWFkNmY5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,0.89,N/A,7.3,12612,tt0021577,Kino International Corp.,
All Quiet on the Western Front,1930,Passed,24,Aug,152,"Drama,War",Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English,French,German,Latin",USA,Won 2 Oscars. Another 5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,0.98,91,8,56756,tt0020629,Universal Pictures,
The Blue Angel,1930,Not Rated,5,Dec,104,"Drama,Music",Josef von Sternberg,"Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti",An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,"German,English,French",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMmExOWQyYmUtMDZlZS00ZWQxLWE3YWQtMmM2ZmJhNWJhYzExXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,0.96,88,7.7,13380,tt0020697,Universum Film A.G.,
