Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Dr. Mabuse the Gambler,1922,Not Rated,30 Sep 1922,242 min,"Crime, Mystery, Thriller",Fritz Lang,"Norbert Jacques (novel), Fritz Lang, Thea von Harbou","Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,"None, German",Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjEwMzk5MTI1MV5BMl5BanBnXkFtZTgwNDY1MTA5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.9,"7,342",tt0013086,movie,N/A,N/A,N/A,N/A,True
Foolish Wives,1922,Not Rated,11 Jan 1922,117 min,"Drama, Thriller",Erich von Stroheim,"Erich von Stroheim (story and scenario), Marian Ainslee (titles), Walter Anthony (titles)","Rudolph Christians, Miss DuPont, Maude George, Mae Busch",A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat.,"Latin, French, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZjU3MzliZGMtNzNhMi00ZjIyLThhZDAtNmFmYTk0ZWRkZWU1XkEyXkFqcGdeQXVyMTA2ODMzMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.1,"2,958",tt0013140,movie,N/A,N/A,Universal Film Manufacturing Company,N/A,True
Häxan,1922,Not Rated,27 May 1929,91 min,"Documentary, Fantasy, History, Horror",Benjamin Christensen,Benjamin Christensen,"Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt","Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.","Swedish, Danish","Sweden, Denmark",N/A,https://m.media-amazon.com/images/M/MV5BNGJjOWY1NDUtZGEyZC00Y2VmLWIzZWUtZDRmODYwYmQzN2VmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,7.7,"12,157",tt0013257,movie,N/A,N/A,"Svensk Filmindustri, Aljosha Production Company",N/A,True
Nanook of the North,1922,Not Rated,11 Jun 1922,78 min,Documentary,Robert J. Flaherty,N/A,"Allakariallak, Alice Nevalinga, Cunayou, Allegoo","In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",N/A,"USA, France",1 win.,https://m.media-amazon.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"10,402",tt0013427,movie,N/A,N/A,"Pathé Exchange Inc., Les Frères Revillon",N/A,True
Nosferatu,1922,Not Rated,03 Jun 1929,94 min,"Fantasy, Horror",F.W. Murnau,"Henrik Galeen (screen play), Bram Stoker (based on the novel: ""Dracula"")","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"None, German",Germany,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.9,"87,917",tt0013442,movie,N/A,N/A,Jofa-Atelier Berlin-Johannisthal,N/A,True
The Smiling Madame Beudet,1923,N/A,09 Nov 1923,26 min,"Short, Drama",Germaine Dulac,"Denys Amiel (play), Germaine Dulac (screenplay), André Obey (play), André Obey (screenplay)","Germaine Dermoz, Alexandre Arquillière, Jean d'Yd, Yvette Grisier",An unhappily married woman devises a scheme to get rid of her husband.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTlkZjU4MWItYjIwMy00ZTJjLThhN2YtNDAzZTU2NGQzYTUwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,964",tt0013626,movie,N/A,N/A,N/A,N/A,True
Our Hospitality,1923,Passed,13 Dec 1923,65 min,"Comedy, Romance, Thriller","John G. Blystone, Buster Keaton","Jean C. Havez (story), Clyde Bruckman (story), Joseph A. Mitchell (story)","Buster Keaton, Natalie Talmadge, Joe Roberts, Francis X. Bushman Jr.","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.","None, English",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTNjZjYxMDQtMTViNi00NTg0LWFmZTYtNTdiMzUxZWU3ZTU2XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.8,"10,060",tt0014341,movie,N/A,N/A,Joseph M. Schenck Productions,N/A,True
The Wheel,1923,Not Rated,17 Feb 1923,418 min,Drama,Abel Gance,Abel Gance,"Gabriel de Gravone, Pierre Magnier, Georges Térof, Séverin-Mars","A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.","None, French, English",France,N/A,https://m.media-amazon.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,7.4,"1,919",tt0014417,movie,N/A,N/A,Films Abel Gance,N/A,True
The Great White Silence,1924,N/A,N/A,80 min,Documentary,Herbert G. Ponting,N/A,"Robert Falcon Scott, Herbert G. Ponting, Henry R. Bowers, Edgar Evans","In 1910 the British Antarctic Expedition, led by Capt. Robert F. Scott, embarks from Lyttleton, NZ on a quest to become the first to reach the South Pole.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZjIzYTlhN2QtZGE2ZS00NDU4LTk5M2ItOGQ5ZGE3MWQyYjgwXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,917,tt1764657,movie,N/A,N/A,N/A,N/A,True
Greed,1924,Not Rated,26 Jan 1925,140 min,"Drama, Thriller, Western",Erich von Stroheim,"June Mathis (screen adaptation and scenario), Erich von Stroheim (screen adaptation and scenario), Frank Norris (from the American classic ""McTeague"" by)","Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.1,"8,406",tt0015881,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True
The Last Laugh,1924,Not Rated,05 Jan 1925,90 min,Drama,F.W. Murnau,Carl Mayer,"Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz","An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BOTBjM2M1Y2ItYTVmMi00NmY0LWIyYjEtNzVhM2UzMzNhMzVkXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"12,389",tt0015064,movie,N/A,N/A,N/A,N/A,True
Sherlock Jr.,1924,Passed,11 May 1924,45 min,"Action, Comedy, Romance",Buster Keaton,"Jean C. Havez (story), Joseph A. Mitchell (story), Clyde Bruckman (story)","Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.2,"40,713",tt0015324,movie,N/A,N/A,Buster Keaton Productions Inc. [us],N/A,True
The Thief of Bagdad,1924,Not Rated,11 Apr 1924,155 min,"Adventure, Family, Fantasy, Romance",Raoul Walsh,"Lotta Woods (scenario editor), Douglas Fairbanks (story)","Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,N/A,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNmM0MjdkMDQtMDMwMy00ZjE4LThjMDUtNjA4ZjkxYzM0MWRjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.7,"5,466",tt0015400,movie,N/A,N/A,Douglas Fairbanks Pictures,N/A,True
Battleship Potemkin,1925,Not Rated,24 Dec 1925,66 min,"Drama, History, Thriller, War",Sergei M. Eisenstein,Nina Agadzhanova (script by),"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","None, Russian",Soviet Union,1 win.,https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",97,8.0,"52,385",tt0015648,movie,N/A,N/A,Goskino,N/A,True
The Big Parade,1925,Not Rated,N/A,151 min,"Drama, Romance, War","King Vidor, George W. Hill","Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles)","John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell",A young American soldier witnesses the horrors of the Great War.,None,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.9,"6,124",tt0015624,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True
The Eagle,1925,Unrated,08 Nov 1925,73 min,"Action, Comedy, Drama, History, Romance",Clarence Brown,"Alexander Pushkin (novel), George Marion Jr. (titles)","Rudolph Valentino, Vilma Bánky, Louise Dresser, Albert Conti","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWM3Y2RlNTItNmI5My00NWQzLWEzZDAtYzkzMmIwMjY4MDI1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",N/A,6.6,"1,709",tt0015772,movie,N/A,N/A,Art Finance Corporation,N/A,True
The Gold Rush,1925,Passed,13 Jul 1925,95 min,"Adventure, Comedy, Drama, Western",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,"None, English",USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.2,"99,071",tt0015864,movie,N/A,N/A,Charles Chaplin Productions,N/A,True
The Phantom of the Opera,1925,Passed,15 Nov 1925,93 min,Horror,"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",Gaston Leroux (from the 1910 celebrated novel by),"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe","A mad, disfigured composer seeks love with a lovely young opera singer.",N/A,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDk4MDM1NTI5MV5BMl5BanBnXkFtZTgwMDkyMDc2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,7.6,"16,381",tt0016220,movie,N/A,N/A,Hammer Films,N/A,True
Strike,1925,Not Rated,N/A,82 min,Drama,Sergei M. Eisenstein,"Grigoriy Aleksandrov, Sergei M. Eisenstein, Ilya Kravchunovsky, Valerian Pletnev","Maksim Shtraukh, Grigoriy Aleksandrov, Mikhail Gomorov, I. Ivanov",A group of oppressed factory workers go on strike in pre-revolutionary Russia.,None,Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BMjA5Mzc0Mzg3MF5BMl5BanBnXkFtZTgwNzgyMzQ2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"6,913",tt0015361,movie,N/A,N/A,Goskino,N/A,True
The Adventures of Prince Achmed,1926,Not Rated,20 Jun 1929,80 min,"Animation, Adventure, Fantasy, Romance","Lotte Reiniger, Carl Koch",N/A,N/A,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNGRiYjNiMmYtMjIzNy00M2Q3LWJjMjctYzMyNjRlYWZhODU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"5,179",tt0015532,movie,N/A,N/A,Paramount,N/A,True
The General,1926,Passed,02 Jan 1927,67 min,"Action, Adventure, Comedy, Drama, War","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","None, English",USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,8.1,"79,706",tt0017925,movie,N/A,N/A,"United Artists, Buster Keaton Productions Inc. [us]",N/A,True
The Jazz Singer,1927,Unrated,04 Feb 1928,88 min,"Drama, Music, Musical, Romance",Alan Crosland,"Samson Raphaelson (play), Alfred A. Cohn (adaptation), Jack Jarmuth (titles)","Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,English,USA,Nominated for 1 Oscar. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BOTUxNTk0MjEtZjQ5Yi00ODBhLTlkY2YtMDJhOWZmNDM1YWJkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.5,"8,953",tt0018037,movie,N/A,N/A,Warner Bros.,N/A,True
The Kid Brother,1927,Passed,17 Jan 1927,82 min,"Comedy, Drama, Family, Romance","Ted Wilde, Harold Lloyd, Lewis Milestone, J.A. Howe(co-director)","John Grey (story), Ted Wilde (story), Thomas J. Crizer (story), John Grey (scenario), Lex Neal (scenario), Howard J. Green (scenario)","Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis",A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQzNjY2NjY1Ml5BMl5BanBnXkFtZTgwOTYzODYwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"3,748",tt0018051,movie,N/A,N/A,Paramount Pictures,N/A,True
Metropolis,1927,Not Rated,13 Mar 1927,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","German, None",Germany,6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",98,8.3,"158,085",tt0017136,movie,N/A,N/A,Paramount,N/A,True
Napoleon,1927,N/A,17 Feb 1929,330 min,"Biography, Drama, History, War",Abel Gance,Abel Gance,"Albert Dieudonné, Vladimir Roudenko, Edmond Van Daële, Alexandre Koubitzky",A film about the French general's youth and early military career.,N/A,France,4 wins.,https://m.media-amazon.com/images/M/MV5BZjI4MDEzNTktMGU4ZC00YjFiLTg4OWEtNzNkMWVlY2YwOTdjXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,8.1,"6,938",tt0018192,movie,N/A,N/A,"Société Westi, Isepa-Wengeroff Film GmbH, Société générale des films, Films Abel Gance, Ciné France, Pathé Consortium Cinéma",N/A,True
